1 , g1 , b20 , gift54
47 , g3 , b11 , gift103
48 , g3 , b11 , gift150
49 , g3 , b11 , gift67
50 , g3 , b11 , gift132
51 , g3 , b11 , gift193
52 , g3 , b11 , gift69
53 , g3 , b11 , gift188
54 , g3 , b11 , gift117
55 , g3 , b11 , gift197
56 , g3 , b11 , gift104
57 , g3 , b11 , gift107
58 , g3 , b11 , gift87
59 , g3 , b11 , gift9
60 , g3 , b11 , gift74
61 , g3 , b11 , gift14
62 , g3 , b11 , gift82
63 , g3 , b11 , gift131
64 , g3 , b11 , gift65
1 , g5 , b18 , gift54
2 , g5 , b18 , gift22
3 , g5 , b18 , gift5
4 , g5 , b18 , gift155
5 , g5 , b18 , gift143
6 , g5 , b18 , gift12
7 , g5 , b18 , gift199
8 , g5 , b18 , gift72
9 , g5 , b18 , gift133
10 , g5 , b18 , gift140
11 , g5 , b18 , gift63
12 , g5 , b18 , gift50
13 , g5 , b18 , gift141
14 , g5 , b18 , gift168
15 , g5 , b18 , gift151
16 , g5 , b18 , gift101
17 , g5 , b18 , gift184
18 , g5 , b18 , gift137
19 , g5 , b18 , gift106
20 , g5 , b18 , gift17
21 , g5 , b18 , gift163
22 , g5 , b18 , gift173
23 , g5 , b18 , gift113
24 , g5 , b18 , gift75
25 , g5 , b18 , gift142
26 , g5 , b18 , gift52
27 , g5 , b18 , gift105
28 , g5 , b18 , gift66
29 , g5 , b18 , gift35
30 , g5 , b18 , gift169
31 , g5 , b18 , gift138
32 , g5 , b18 , gift43
33 , g5 , b18 , gift112
34 , g5 , b18 , gift144
35 , g5 , b18 , gift97
36 , g5 , b18 , gift115
37 , g5 , b18 , 
38 , g5 , b18 , gift192
39 , g5 , b18 , gift200
40 , g5 , b18 , gift32
41 , g5 , b18 , gift31
42 , g5 , b18 , gift180
43 , g5 , b18 , gift59
44 , g5 , b18 , gift79
45 , g5 , b18 , gift111
46 , g5 , b18 , gift55
47 , g5 , b18 , gift103
48 , g5 , b18 , gift150
1 , g6 , b14 , gift54
2 , g6 , b14 , gift22
3 , g6 , b14 , gift5
4 , g6 , b14 , gift155
5 , g6 , b14 , gift143
6 , g6 , b14 , gift12
7 , g6 , b14 , gift199
8 , g6 , b14 , gift72
9 , g6 , b14 , gift133
10 , g6 , b14 , gift140
11 , g6 , b14 , gift63
12 , g6 , b14 , gift50
13 , g6 , b14 , gift141
14 , g6 , b14 , gift168
15 , g6 , b14 , gift151
16 , g6 , b14 , gift101
17 , g6 , b14 , gift184
18 , g6 , b14 , gift137
19 , g6 , b14 , gift106
20 , g6 , b14 , gift17
21 , g6 , b14 , gift163
22 , g6 , b14 , gift173
23 , g6 , b14 , gift113
24 , g6 , b14 , gift75
25 , g6 , b14 , gift142
26 , g6 , b14 , gift52
27 , g6 , b14 , gift105
28 , g6 , b14 , gift66
1 , g7 , b8 , gift54
2 , g7 , b8 , gift22
3 , g7 , b8 , gift5
4 , g7 , b8 , gift155
5 , g7 , b8 , gift143
6 , g7 , b8 , gift12
7 , g7 , b8 , gift199
8 , g7 , b8 , gift72
9 , g7 , b8 , gift133
10 , g7 , b8 , gift140
11 , g7 , b8 , gift63
12 , g7 , b8 , gift50
13 , g7 , b8 , gift141
14 , g7 , b8 , gift168
15 , g7 , b8 , gift151
16 , g7 , b8 , gift101
17 , g7 , b8 , gift184
18 , g7 , b8 , gift137
19 , g7 , b8 , gift106
20 , g7 , b8 , gift17
21 , g7 , b8 , gift163
22 , g7 , b8 , gift173
23 , g7 , b8 , gift113
24 , g7 , b8 , gift75
1 , g9 , b4 , gift54
2 , g9 , b4 , gift22
3 , g9 , b4 , gift5
4 , g9 , b4 , gift155
5 , g9 , b4 , gift143
6 , g9 , b4 , gift12
7 , g9 , b4 , gift199
8 , g9 , b4 , gift72
9 , g9 , b4 , gift133
10 , g9 , b4 , gift140
11 , g9 , b4 , gift63
12 , g9 , b4 , gift50
13 , g9 , b4 , gift141
14 , g9 , b4 , gift168
15 , g9 , b4 , gift151
16 , g9 , b4 , gift101
17 , g9 , b4 , gift184
18 , g9 , b4 , gift137
19 , g9 , b4 , gift106
20 , g9 , b4 , gift17
21 , g9 , b4 , gift163
22 , g9 , b4 , gift173
23 , g9 , b4 , gift113
24 , g9 , b4 , gift75
25 , g9 , b4 , gift142
26 , g9 , b4 , gift52
27 , g9 , b4 , gift105
28 , g9 , b4 , gift66
29 , g9 , b4 , gift35
30 , g9 , b4 , gift169
31 , g9 , b4 , gift138
32 , g9 , b4 , gift43
33 , g9 , b4 , gift112
34 , g9 , b4 , gift144
35 , g9 , b4 , gift97
36 , g9 , b4 , gift115
37 , g9 , b4 , 
38 , g9 , b4 , gift192
39 , g9 , b4 , gift200
40 , g9 , b4 , gift32
41 , g9 , b4 , gift31
42 , g9 , b4 , gift180
43 , g9 , b4 , gift59
44 , g9 , b4 , gift79
45 , g9 , b4 , gift111
46 , g9 , b4 , gift55
47 , g9 , b4 , gift103
48 , g9 , b4 , gift150
49 , g9 , b4 , gift67
50 , g9 , b4 , gift132
51 , g9 , b4 , gift193
52 , g9 , b4 , gift69
53 , g9 , b4 , gift188
54 , g9 , b4 , gift117
